0.053,0.0069
0.124,0.0046
0.247,0.0233
0.351,0.0553
0.442,0.0457
0.556,0.2033
0.665,0.1649
0.759,0.3877
0.85,0.3808
0.937,0.6809
1.048,1.1214
1.143,1.0112
1.249,2.4406
1.359,3.2337
1.451,4.0864
1.552,6.8745
1.657, 6.6279'
1.745,5.1412
1.834,6.5561
1.94,5.4588
2.044,3.7231
2.144,2.5473
2.244,1.6959
2.344,1.1369
2.51,1.6947
2.762,1.0094
3.009,0.5732
3.257,0.2806
3.507,0.1316
3.757,0.0623
4.083,0.042
4.579,0.008
5.132,0.0015
5.647,0.
18.5,0.
19.5,0.
20.696,0.0012
21.658,0.0113
22.627,0.0656
23.598,0.2567
24.573,0.7149
25.55,1.4804
26.529,2.3583
27.51,2.9715
28.493,3.0307
29.478,2.5527
30.464,1.808
31.455,1.107
32.49,0.7377
33.557,1.0637
34.534,1.9095
35.492,2.2178
36.459,1.6434
37.445,0.9037
38.463,0.4989
39.499,0.3978
40.506,0.4124
41.498,0.4152
42.498,0.3925
43.504,0.3457
44.511,0.3186
45.494,0.2701
46.481,0.2713
47.483,0.2481
48.513,0.2412
49.498,0.1907
50.462,0.1938
51.501,0.176
52.496,0.1575
53.491,0.1541
54.502,0.1485
55.508,0.1557
56.526,0.1895
57.518,0.2427
58.529,0.3357
59.518,0.4095
60.505,0.4714
61.505,0.5034
62.50l,0.5152
63.503,0.5442
64.512,0.5859
65.504,0.6617
66.51,0.7094
67.501,0.7404
68.492,0.7164
69.489,0.6563
70.486,0.562
71.473,0.4691
72.478,0.368
73.486,0.3049
74.443,0.221
75.446,0.1928
76.465,0.1761
77.43,0.153
78.512,0.1215
79.464,0.139
80.504,0.1216
81.51,0.1422
82.523,0.1384
83.505,0.1368
84.499,0.1316
85.49,0.1153
86.491,0.1076
87.498,0.0921
88.498,0.0757
89.495,0.0696
90.967,0.1236
92.983,0.108
94.982,0.0966
96.982,0.0864
98.981,0.0776
100.981,0.0703
102.983,0.0636
104.984,0.0578
106.985,0.0528
108.986,0.0483
110.986,0.0444
112.987,0.0409
114.987,0.0378
116.987,0.035
118.988,0.0325
120.988,0.0302
122.988,0.0282
124.989,0.0263
126.989,0.0246
128.989,0.023
130.989,0.0216
132.99,0.0203
134.99,0.0191
136.99,0.018
138.99,0.0169
141.962,0.0311
145.964,0.0278
149.965,0.025
153.966,0.0225
157.967,0.0204
161.969,0.0185
165.97,0.0169
169.971,0.0154
173.972,0.0141
177.973,0.013
181.973,0.012
185.974,0.0111
189.975,0.0103
193.976,0.0095
197.976,0.0089
201.977,0.0083
205.977,0.0077
209.978,0.0072
213.979,0.0068
217.979,0.0064
221.979,0.006
225.98,0.0056
229.98,0.0053
233.981,0.005
237.981,0.0047
